0,4
1,3
2,4
3,4
4,4
5,4
6,4
7,5
8,5
9,5
10,6
11,6
12,7
13,8
14,8
15,9
16,10
17,11
18,12
19,13
20,14
21,15
22,17
23,18
24,19
25,21
26,23
27,25
28,26
29,28
30,30
31,32
32,33
33,35
34,37
35,40
36,42
37,44
38,47
39,50
40,53
41,57
42,61
43,65
44,69
45,74
46,79
47,84
48,89
49,94
50,99
51,104
52,108
53,113
54,118
55,124
56,130
57,136
58,143
59,150
60,158
61,166
62,174
63,181
64,187
65,192
66,198
67,204
68,210
69,218
70,226
71,234
72,244
73,255
74,267
75,279
76,293
77,305
78,316
79,328
80,340
81,352
82,363
83,376
84,389
85,403
86,415
87,429
88,442
89,458
90,471
91,486
92,503
93,517
94,533
95,549
96,569
97,586
98,607
99,626
100,646
101,665
102,689
103,710
104,732
105,758
106,782
107,809
108,832
109,862
110,893
111,927
112,961
113,1006
114,1029
115,1061
116,1092
117,1114
118,1142
119,1168
120,1191
121,1214
122,1235
123,1264
124,1299
125,1338
126,1379
127,1425
128,1471
129,1518
130,1554
131,1595
132,1636
133,1684
134,1719
135,1755
136,1787
137,1821
138,1846
139,1877
140,1906
141,1937
142,1975
143,2012
144,2045
145,2082
146,2107
147,2129
148,2160
149,2194
150,2230
151,2275
152,2319
153,2366
154,2422
155,2460
156,2511
157,2559
158,2605
159,2652
160,2683
161,2716
162,2728
163,2754
164,2771
165,2783
166,2795
167,2792
168,2787
169,2785
170,2765
171,2760
172,2746
173,2719
174,2688
175,2657
176,2626
177,2576
178,2528
179,2470
180,2402
181,2326
182,2232
183,2143
184,2038
185,1936
186,1825
187,1715
188,1609
189,1512
190,1411
191,1310
192,1212
193,1123
194,1034
195,947
196,851
197,750
198,650
199,556
200,470
201,394
202,319
203,256
204,195
205,141
206,97
207,60
208,33
209,16
210,10
211,15
212,34
213,66
214,114
215,175
216,252
217,342
218,444
219,563
220,694
221,829
222,979
223,1144
224,1315
225,1534
226,1772
227,2017
228,2244
229,2446
230,2619
231,2765
232,2885
233,2989
234,3081
235,3155
236,3210
237,3241
238,3251
239,3233
240,3189
241,3122
242,3031
243,2930
244,2801
245,2664
246,2514
247,2362
248,2208
249,2081
250,1918
251,1779
252,1643
253,1524
254,1441
255,1391
